track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key_x,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance,mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist,instance_id,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key_y,liveness,loudness,mode_y,speechiness,tempo,obtained_date,valence,music_genre
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,d56ff6b5-7b90-4662-8222-a75ff86a6bc3,Plan B,Plan B,United Kingdom,Germany; United Kingdom,,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,e3e7a076-ee69-4f19-84db-d092f7e38e40,Plan B,Plan B,United States,Germany; United Kingdom,latin; reggaeton; latin urban,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,b5259712-3a01-4d11-b190-760c23339539,Plan B,Plan B,United States,Germany; United Kingdom,,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,731ae1b0-8ea2-4d7a-ac70-d4abdae1d3bb,Plan B,Plan B,Germany,Germany; United Kingdom,,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,14e037e1-222d-407d-b3ba-4d40f0c64d55,Plan B,Plan B,,Germany; United Kingdom,,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,49e84f45-e1a3-4865-91ee-5c43ab6f26b4,Plan B,Plan B,Germany,Germany; United Kingdom,,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,93d3a80f-28a8-4191-9efa-ceb9800ed964,Plan B,Plan B,Slovenia,Germany; United Kingdom,,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,438adbfb-2840-4c82-ab77-aa8403b02cef,Plan B,,Poland,,,,,,False,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,db7ff04f-63c9-4b0b-b944-c37c3307c6c2,Plan B,,,,,,,,False,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,bb9f8816-c7e3-43d0-bc45-f39f6d63144b,Plan B,,,,,,,,False,,,,,,,,,,,,,,,,,
