,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,Major,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,artist_dominance,months_since_release,streams_per_month
61,1,2019,11,29,43899,69,3703895074.0,171,1,50,38,80,0,0,9,7,1323,22,43.46254927726675,85220382.50382465
62,1,2023,2,24,2649,42,256483385.0,137,0,64,88,72,51,0,17,5,140,1,4.599211563731932,55766815.995714284
63,1,2022,5,26,6804,45,1214083358.0,125,0,84,85,68,58,0,22,4,414,1,13.600525624178712,89267385.06647344
64,1,2023,7,14,525,41,16011326.0,128,0,86,42,72,59,0,9,19,0,4,1.0,16011326.0
65,1,2023,7,14,525,41,16011326.0,128,0,86,42,72,59,0,9,19,0,4,1.0,16011326.0
66,1,2020,7,24,7923,29,812019557.0,130,0,61,53,58,55,0,27,4,1085,34,35.64388961892247,22781451.903299537
67,2,2023,5,4,731,15,111947664.0,130,1,86,59,96,50,1,9,5,71,1,2.3324572930354797,47995590.03042253
68,2,2023,2,3,5184,41,156338624.0,133,1,70,86,81,25,0,25,5,161,1,5.289093298291721,29558681.45689441
69,3,2022,6,24,3107,39,720434240.0,101,1,88,72,59,62,0,9,3,385,1,12.64783180026281,56961086.40415585
70,2,2023,3,24,4053,50,357925728.0,95,0,77,53,64,74,0,17,14,112,1,3.679369250985545,97279099.6457143
71,2,2022,10,6,4637,38,674072710.0,98,0,90,40,59,0,0,10,29,281,1,9.231274638633376,73020545.52455516
72,1,1999,1,1,31358,43,1755214421.0,173,1,43,28,66,0,0,23,3,8960,1,294.34954007884363,5963027.564200893
73,1,2022,10,21,3818,23,404562836.0,90,1,64,10,62,7,0,48,7,266,34,8.73850197109067,46296589.20240601
74,1,2022,12,2,3506,56,373199958.0,198,0,59,71,42,55,0,10,7,224,1,7.35873850197109,50715208.57821429
75,1,2023,7,14,410,36,14780425.0,140,1,56,48,73,0,0,35,4,0,3,1.0,14780425.0
76,1,2023,7,7,148,24,39578178.0,82,1,51,22,53,1,0,15,3,7,34,1.0,39578178.0
77,2,2023,6,23,1004,35,54266102.0,130,0,77,84,89,17,0,43,5,21,2,1.0,54266102.0
78,1,2020,6,28,22543,63,2557975762.0,81,1,76,53,53,44,0,9,9,1111,1,36.498028909329825,70085312.50700271
79,1,2022,7,15,4511,36,751134527.0,94,0,51,14,59,65,18,25,3,364,2,11.957950065703022,62814656.59857143
80,1,2012,5,14,16413,61,2282771485.0,124,1,61,41,81,5,2,10,3,4078,3,133.96846254927726,17039618.44124571
81,1,2012,5,14,16413,61,2282771485.0,124,1,61,41,81,5,2,10,3,4078,3,133.96846254927726,17039618.44124571
82,2,2022,7,6,8506,45,1356565093.0,128,1,62,55,78,1,3,23,4,373,1,12.253613666228643,110707349.68075068
83,1,2008,1,1,33898,62,1592909789.0,138,0,49,42,62,9,0,11,3,5673,3,186.36662286465176,8547183.849314297
84,1,2022,7,17,3246,23,635412045.0,132,1,58,27,48,50,0,12,3,362,2,11.892247043363994,53430780.80055249
85,2,2022,9,22,8576,42,1230675890.0,131,1,71,24,47,1,0,27,9,295,1,9.69119579500657,126989064.71728817
86,2,2022,12,20,3618,38,585695368.0,168,0,78,58,73,5,0,10,7,206,2,6.767411300919842,86546441.7568932
87,1,2023,6,22,370,20,43857627.0,98,1,68,40,79,33,0,30,6,22,1,1.0,43857627.0
88,1,1975,1,1,31123,55,2009094673.0,102,1,48,50,73,43,0,15,4,17726,1,582.3258869908016,3450120.83076385
89,2,2022,4,22,2790,30,600976848.0,101,1,34,32,57,78,0,20,3,448,1,14.71747700394218,40834230.47571429
90,2,2023,6,23,267,9,39709092.0,130,1,63,36,34,76,0,35,9,21,1,1.0,39709092.0
91,1,2023,7,7,139,17,39228929.0,142,1,50,20,64,1,0,12,3,7,34,1.0,39228929.0
92,2,2021,7,9,17050,36,2665343922.0,170,1,59,48,76,4,0,10,5,735,1,24.14586070959264,110385127.87167348
93,2,2023,3,3,2114,44,223633238.0,124,0,78,70,68,3,1,11,4,133,1,4.369250985545335,51183426.80240601
94,1,2018,11,8,17836,53,2887241814.0,110,1,50,45,41,75,0,11,3,1709,3,56.14323258869908,51426355.07206554
95,2,2022,5,6,8870,43,1440757818.0,92,0,91,43,71,9,0,9,8,434,1,14.257555847568987,101052230.36847928
96,1,2015,6,22,6060,53,165484133.0,116,1,82,40,66,39,51,25,7,2944,1,96.71484888304862,1711051.9730027174
97,2,2012,6,20,641,50,58054811.0,129,1,63,84,82,70,8,9,7,4041,1,132.75295663600525,437314.63668398914
98,1,2023,3,24,1446,12,157058870.0,98,1,71,67,60,19,0,12,3,112,1,3.679369250985545,42686357.16785715
99,1,2023,3,17,804,25,95131998.0,172,0,74,76,76,6,0,10,9,119,1,3.9093298291721417,24334605.20268908
100,2,2023,3,17,1962,38,250305248.0,150,1,68,14,76,4,0,10,4,119,1,3.9093298291721417,64027661.75731093
101,1,2017,11,8,4875,23,685032533.0,136,0,62,19,53,11,0,6,4,2074,34,68.13403416557162,10054190.11789778
102,1,2020,6,5,31,39,38411956.0,88,0,53,34,47,9,0,83,4,1134,2,37.253613666228645,1031093.4220811288
103,2,2023,5,12,2175,23,144565150.0,143,1,83,69,44,15,0,10,33,63,1,2.0696452036793693,69850208.98412699
104,1,2023,3,17,2000,46,127567540.0,100,0,49,17,35,71,9,11,3,119,3,3.9093298291721417,32631562.33277311
105,1,2022,12,9,2839,25,399686758.0,143,1,56,39,55,14,0,11,13,217,19,7.128777923784494,56066658.58764977
106,1,2011,1,1,20333,52,983637508.0,112,0,56,24,66,7,0,12,3,4577,3,150.36136662286464,6541823.409115141
107,1,2023,6,9,674,47,118482347.0,93,1,62,57,59,3,0,38,3,35,8,1.149802890932983,103045789.79085714
108,1,2012,1,1,8448,23,882831184.0,206,1,43,50,55,50,0,15,10,4212,34,138.37056504599212,6380194.976486229
109,3,2022,12,2,2110,58,286400165.0,88,0,68,17,71,15,0,11,5,224,1,7.35873850197109,38919736.708035715
110,1,2023,4,14,2528,39,172825906.0,170,1,50,37,90,0,0,12,5,91,3,2.9894875164257555,57811215.14989011
111,1,2004,1,1,12985,61,1241559043.0,84,0,62,24,67,21,0,13,28,7134,4,234.36268068331145,5297597.037975891
112,1,2023,7,7,77,35,29562220.0,134,0,81,53,72,51,0,12,5,7,6,1.0,29562220.0
113,1,2022,4,20,266,27,77309611.0,158,1,54,50,40,61,0,10,6,450,1,14.783180026281208,5229565.686311112
114,3,2017,11,10,21097,52,1605224506.0,116,1,80,92,80,4,0,10,3,2072,1,68.06833114323258,23582545.34876448
115,1,2017,4,28,3423,21,1116995633.0,117,1,61,45,69,2,0,9,3,2268,1,74.50722733245729,14991775.60340388
116,1,2021,3,11,4198,44,838079900.0,114,0,77,65,72,2,0,7,5,855,3,28.088042049934295,29837604.86081872
117,1,2011,1,1,14739,43,1163620694.0,108,0,61,47,68,0,0,13,3,4577,4,150.36136662286464,7738827.600034958
118,1,2011,1,1,14739,43,1163620694.0,108,0,61,47,68,0,0,13,3,4577,4,150.36136662286464,7738827.600034958
119,1,2011,1,1,14739,43,1163620694.0,108,0,61,47,68,0,0,13,3,4577,4,150.36136662286464,7738827.600034958
120,2,2012,1,1,26792,32,1093605526.0,144,0,74,37,53,7,0,21,10,4212,1,138.37056504599212,7903454.940987654
121,1,2022,12,2,213,6,179659294.0,130,1,51,18,44,76,0,11,3,224,1,7.35873850197109,24414414.77392857
122,2,2023,6,22,58,18,39058561.0,116,1,77,79,62,33,1,15,3,22,2,1.0,39058561.0
123,1,2023,7,7,99,15,36912123.0,121,1,65,49,78,0,0,17,4,7,34,1.0,36912123.0
124,1,1985,2,17,41751,25,1205951614.0,112,1,64,54,81,36,0,11,6,14026,1,460.7752956636005,2617222.8097932413
125,1,2014,12,9,21164,36,1791000570.0,100,0,70,47,52,30,0,6,33,3139,1,103.1208935611038,17367969.847339917
126,1,2023,2,25,2988,59,201660859.0,150,0,55,30,78,24,0,12,8,139,1,4.566360052562418,44162277.32345324
127,2,2023,2,8,893,38,248088961.0,120,0,84,96,71,18,0,34,17,156,1,5.124835742444152,48409153.67205128
128,3,2023,5,12,1094,34,90839753.0,127,0,82,89,85,4,0,23,6,63,1,2.0696452036793693,43891461.60825396
129,1,2020,7,24,7324,22,607123776.0,90,1,51,42,61,53,0,9,3,1085,34,35.64388961892247,17033039.393032257
130,2,2023,6,22,201,11,55842345.0,128,0,75,79,63,33,0,15,4,22,2,1.0,55842345.0
131,2,2023,3,10,5120,48,211050784.0,143,1,64,31,87,4,4,8,4,126,1,4.139290407358739,50987189.40444444
132,1,2022,7,15,2346,27,342897938.0,139,1,74,68,68,3,0,26,4,364,1,11.957950065703022,28675311.0789011
133,2,2022,12,9,763,26,2762.0,162,1,49,78,64,19,0,11,4,217,1,7.128777923784494,387.44368663594474
134,1,2021,6,11,457,24,330346424.0,92,1,81,39,60,31,0,7,3,763,2,25.065703022339022,13179220.375570118
135,1,2022,8,19,3430,38,601863821.0,95,1,87,57,55,10,0,29,7,329,8,10.808147174770038,55686123.74237083
136,3,2011,8,16,6074,52,1953533826.0,146,1,63,88,93,3,0,10,8,4350,1,142.904073587385,13670245.899641382
137,1,2019,11,17,21915,34,2322580122.0,95,1,55,56,82,12,0,34,5,1335,17,43.856767411300915,52958306.30238203
138,2,2017,8,11,15032,30,2355719893.0,115,0,35,12,30,93,0,10,3,2163,1,71.05781865965834,33152156.053129915
139,2,2023,6,21,871,32,66902503.0,128,1,78,59,65,10,0,26,5,23,2,1.0,66902503.0
140,1,2023,5,15,451,33,96273746.0,130,0,82,69,83,3,0,27,5,60,2,1.9710906701708275,48842880.47066667
141,1,2023,1,2,1783,27,430977451.0,127,0,80,74,77,36,0,11,4,193,6,6.340341655716163,67973852.89347151
142,1,2011,1,1,9389,46,284819874.0,150,1,42,20,86,21,0,9,9,4577,3,150.36136662286464,1894235.736194014
143,2,2023,1,11,5724,44,721975598.0,122,0,78,50,63,27,0,9,5,184,1,6.044678055190539,119439876.10391304
144,1,2007,4,20,13985,25,1217120710.0,140,1,52,20,85,0,0,7,5,5929,4,194.7766097240473,6248803.240411537
145,4,2023,6,2,1051,16,109276132.0,140,1,63,22,54,46,0,12,8,42,1,1.3797634691195797,79199177.57333334
146,3,2022,12,2,1682,46,276259178.0,119,0,75,48,53,18,0,18,34,224,1,7.35873850197109,37541649.01035714
147,5,2023,5,22,182,8,54225632.0,110,0,76,96,72,32,0,9,4,53,1,1.7411300919842312,31143929.02037736
148,1,2017,1,1,16596,13,2559529074.0,95,1,60,17,45,16,0,11,2,2385,9,78.3508541392904,32667532.500025157
149,1,2017,1,1,16596,13,2559529074.0,95,1,60,17,45,16,0,11,2,2385,9,78.3508541392904,32667532.500025157
150,1,2022,7,20,2335,23,681583126.0,132,1,56,20,55,45,1,32,3,359,2,11.793692509855452,57792173.69203343
151,1,2017,1,31,18986,23,2594040133.0,125,0,77,74,78,4,0,23,11,2355,3,77.36530880420499,33529758.661791936
152,4,2023,5,19,283,7,81102253.0,124,0,84,65,50,67,0,13,6,56,1,1.8396846254927728,44084867.52357143
153,2,2023,6,1,293,8,11956641.0,133,0,93,68,65,42,0,12,25,43,1,1.4126149802890933,8464189.582325581
154,1,2002,1,1,21081,43,1687664027.0,112,1,92,67,66,0,0,36,9,7864,4,258.3442838370565,6532616.096373348
155,3,2023,7,13,437,31,11599388.0,97,1,79,92,89,5,0,6,5,1,1,1.0,11599388.0
156,2,2016,11,24,1275,32,611700552.0,90,0,59,52,48,38,5,10,11,2423,1,79.59921156373193,7684756.418852663
157,2,2022,5,6,6135,38,1133865788.0,80,0,65,27,69,8,0,53,4,434,1,14.257555847568987,79527360.79889402
158,1,2004,1,1,20015,16,1089402494.0,172,1,45,33,59,6,0,8,3,7134,1,234.36268068331145,4648361.636860107
159,1,2019,5,10,1507,14,411747614.0,120,1,60,24,35,73,0,31,3,1526,1,50.13140604467805,8213366.559737877
160,1,2023,1,27,539,21,255932395.0,140,0,74,96,80,18,0,5,5,168,1,5.519053876478318,46372512.522619046
161,1,2023,6,30,86,8,31873544.0,128,0,81,90,77,1,0,9,5,14,1,1.0,31873544.0
162,1,2023,5,26,324,14,95053634.0,122,1,78,70,81,57,0,10,5,49,2,1.609724047306176,59049645.28489796
163,2,2010,1,1,17138,37,1279434863.0,130,1,47,86,92,8,0,5,24,4942,1,162.35216819973718,7880614.575014165
164,2,2023,2,2,894,9,233801632.0,160,1,69,61,71,33,0,31,20,162,1,5.321944809461235,43931615.29679012
165,1,2012,12,5,1622,9,1481349984.0,144,1,73,87,70,6,0,28,5,3873,4,127.23390275952691,11642730.057567775
166,3,2023,4,4,561,14,142095275.0,192,1,50,85,52,11,0,28,6,101,1,3.3180026281208934,42825546.24752475
167,2,2022,6,17,5871,27,618885532.0,163,1,54,40,67,0,0,9,17,392,8,12.877792378449408,48058356.10734694
168,1,2013,1,1,29215,43,2011464183.0,122,0,66,48,71,6,0,12,4,3846,2,126.34691195795006,15920168.936692668
169,1,2021,3,19,5866,24,1167330737.0,154,1,61,41,74,21,0,40,6,847,3,27.825229960578184,41952240.41827627
170,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
171,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
172,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
173,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
174,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
175,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
176,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
177,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
178,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
179,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
180,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
181,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
182,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
183,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
184,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
185,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
186,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
187,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
188,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
189,1,2019,10,4,3859,26,929964809.0,117,0,73,31,69,6,0,11,4,1379,1,45.302233902759525,20528012.172559828
190,2,2023,1,23,961,26,436027885.0,138,0,78,89,83,10,0,12,5,172,1,5.650459921156373,77166795.46162792
191,1,2004,7,13,6457,18,657723613.0,96,1,86,74,80,33,0,8,6,6940,2,227.98948751642575,2884885.703129683
192,3,2016,4,4,43257,24,2713922350.0,104,1,77,36,63,1,0,36,5,2657,1,87.28646517739816,31092132.60594656
193,1,2010,1,1,4564,16,621660989.0,164,1,45,24,62,8,0,16,3,4942,34,162.35216819973718,3829089.5396924326
194,1,2020,3,20,12688,13,1591223784.0,118,1,68,61,82,2,0,50,3,1211,22,39.78318002628121,39997400.48303881
195,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
196,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
197,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
198,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
199,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
200,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
201,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
202,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
203,1,2010,5,25,13801,19,950906471.0,81,0,68,51,60,3,0,19,10,4798,1,157.6215505913272,6032845.555906627
204,1,1983,1,6,22439,19,1593270737.0,117,1,82,73,45,54,0,7,3,14799,1,486.1695137976347,3277191.785544969
205,1,2015,2,2,18515,35,1410088830.0,174,1,45,10,37,97,25,64,4,3084,1,101.31406044678054,13917997.401167316
206,2,2011,1,1,36843,21,1235005533.0,128,1,73,60,77,3,0,11,4,4577,1,150.36136662286464,8213582.788839852
207,1,2012,12,5,2420,11,1661187319.0,145,1,60,43,27,94,0,14,4,3873,4,127.23390275952691,13056168.858858766
208,1,2018,5,25,5897,19,1374581173.0,150,0,65,51,55,73,0,14,3,1876,1,61.62943495400789,22303971.698358208
209,3,2023,6,2,727,16,94186466.0,90,0,60,13,53,4,0,21,4,42,1,1.3797634691195797,68262762.50095238
