track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14,971,2,291709698.0,124,Minor,73,68,83,55,0,90,7,547,533290.1243144424,1
When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270.0,80,Minor,39,45,55,73,0,9,21,1380,147594.39855072464,7
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745.0,120,Minor,84,54,51,47,0,12,40,526,154659.21102661596,2
Forever,Labrinth,1,2019,10,4,3618,0,282883169.0,80,Minor,56,19,46,92,72,11,3,1380,204987.8036231884,7
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943.0,117,Major,92,62,86,11,0,24,24,526,123170.99429657796,2
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918.0,117,Minor,76,77,52,4,0,8,3,1487,1671024.15467384,1
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,0,461437791.0,140,Minor,62,46,73,10,0,67,11,1521,303377.9033530572,3
Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367.0,99,Major,68,57,77,2,0,10,5,1317,1092780.0812452545,17
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783.0,93,Major,74,59,87,3,0,8,5,1232,616240.8952922078,2
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,106,Major,44,8,20,74,42,11,3,11617,31733.396057501937,2
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,106,Major,44,8,20,74,42,11,3,11617,31733.396057501937,2
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,106,Major,44,8,20,74,42,11,3,11617,31733.396057501937,2
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,106,Major,44,8,20,74,42,11,3,11617,31733.396057501937,2
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,106,Major,44,8,20,74,42,11,3,11617,31733.396057501937,2
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,106,Major,44,8,20,74,42,11,3,11617,31733.396057501937,2
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472.0,124,Major,81,68,63,17,0,10,22,491,610253.5071283096,1
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987.0,95,Major,76,96,70,18,0,33,4,498,1519895.5562248996,1
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,32,682475162.0,96,Minor,87,82,53,10,0,5,8,540,1263842.8925925926,1
Envolver,Anitta,1,2021,11,11,4673,2,546191065.0,92,Minor,81,40,73,15,0,9,8,611,893929.7299509002,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,124,Major,95,36,37,35,0,10,28,499,459866.3527054108,1
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468.0,72,Major,64,76,44,70,9,12,4,499,406167.2705410821,1
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468.0,72,Major,64,76,44,70,9,12,4,499,406167.2705410821,1
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468.0,72,Major,64,76,44,70,9,12,4,499,406167.2705410821,1
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,121913181.0,71,Minor,28,26,20,19,0,30,3,526,231774.108365019,7
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039.0,135,Minor,78,55,57,4,0,10,8,529,393508.5803402647,1
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,2,527033089.0,95,Major,81,56,70,4,0,5,24,7011,75172.3133647126,1
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487.0,71,Minor,59,70,74,56,0,11,40,499,189612.1983967936,1
Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335.0,180,Minor,80,71,68,6,0,10,37,806,488871.38337468985,2
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895.0,150,Minor,65,11,58,0,0,12,9,512,377820.107421875,3
Chale,Eden Muï¿½ï,1,2022,2,18,695,11,299648208.0,189,Major,55,86,44,40,0,7,4,512,585250.40625,1
DARARI,Treasure,1,2022,2,15,328,0,182978249.0,85,Major,72,55,64,49,0,7,4,515,355297.5708737864,1
DARARI,Treasure,1,2022,2,15,328,0,182978249.0,85,Major,72,55,64,49,0,7,4,515,355297.5708737864,1
DARARI,Treasure,1,2022,2,15,328,0,182978249.0,85,Major,72,55,64,49,0,7,4,515,355297.5708737864,1
DARARI,Treasure,1,2022,2,15,328,0,182978249.0,85,Major,72,55,64,49,0,7,4,515,355297.5708737864,1
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,319757142.0,140,Major,59,73,45,44,0,34,3,512,624525.66796875,1
Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16,1550,0,109091573.0,81,Major,77,68,70,6,0,17,20,3651,29879.91591344837,1
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879.0,104,Minor,80,24,65,2,0,9,4,505,303447.28514851484,1
this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840.0,129,Major,42,33,44,62,0,8,6,680,509011.5294117647,2
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938.0,94,Minor,76,81,80,20,0,25,4,1232,253752.38474025973,19
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679.0,71,Minor,41,23,40,27,0,30,5,17424,126091.06284435262,1
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679.0,71,Minor,41,23,40,27,0,30,5,17424,126091.06284435262,1
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679.0,71,Minor,41,23,40,27,0,30,5,17424,126091.06284435262,1
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679.0,71,Minor,41,23,40,27,0,30,5,17424,126091.06284435262,1
Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494.0,146,Minor,59,23,46,66,0,15,6,1947,616748.0708782743,2
Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073.0,103,Minor,69,90,88,5,0,29,8,1205,661573.5045643153,3
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297.0,124,Major,53,66,78,0,0,16,5,3847,512262.3595009098,2
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558.0,164,Minor,70,71,58,24,0,7,13,785,848108.9910828025,7
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,263779030.0,138,Major,69,35,57,12,0,10,9,673,391945.0668647846,2
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453.0,126,Minor,67,37,46,13,0,10,39,1010,336112.3297029703,1
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728.0,103,Minor,61,47,65,3,0,17,4,2334,944336.2159383034,1
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264.0,95,Major,75,64,52,41,0,11,3,2601,996241.5470972704,1
O.O,NMIXX,1,2022,2,22,290,0,135444283.0,200,Minor,39,28,77,4,0,6,29,508,266622.6043307087,1
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,42798,0,1457139296.0,129,Major,86,75,52,54,0,10,4,4578,318291.6767147226,1
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197.0,98,Minor,68,33,43,38,0,36,14,1478,160265.35656292285,1
First Class,Jack Harlow,1,2022,4,8,8737,0,694525298.0,107,Major,91,32,56,3,0,11,10,463,1500054.6393088554,3
Plan A,Paulo Londra,1,2022,3,23,1105,0,240661097.0,174,Major,58,56,83,5,0,7,4,479,502424.00208768266,2
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,421365166.0,92,Major,45,27,67,32,0,13,14,513,821374.5925925926,1
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,421365166.0,92,Major,45,27,67,32,0,13,14,513,821374.5925925926,1
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291.0,90,Major,81,59,83,9,0,11,5,477,733220.7358490566,2
When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451.0,147,Major,60,58,69,2,0,58,4,471,541657.008492569,3
In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339.0,143,Major,68,41,55,16,0,10,12,470,406343.2744680851,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,101,Minor,76,63,71,3,0,10,3,3107,297455.1989056968,1
LOVE DIVE,IVE,1,2022,4,5,753,8,305771063.0,118,Minor,70,54,71,0,0,33,4,466,656161.0793991416,4
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485.0,98,Minor,83,63,74,14,0,16,6,484,564060.9194214876,1
Chance,Paulo Londra,1,2022,4,6,225,0,89566512.0,138,Minor,72,22,46,24,0,9,6,465,192616.15483870968,2
Cool for the Summer,Demi Lovato,1,2015,1,1,9243,0,677389855.0,114,Minor,59,30,62,1,0,8,4,3117,217321.0956047481,1
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209.0,180,Minor,63,45,64,34,0,9,8,464,162664.24353448275,1
Angel Baby,Troye Sivan,1,2021,9,9,1959,9,408843328.0,145,Major,56,41,57,1,0,13,3,674,606592.4747774481,2
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,187772591.0,115,Minor,78,63,64,1,0,7,4,531,353620.6986817326,1
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385.0,82,Major,79,48,84,13,0,21,23,471,379007.18683651806,1
Right On,Lil Baby,1,2022,4,8,1116,0,101780047.0,166,Major,70,22,61,2,0,10,34,463,219827.3153347732,2
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354.0,92,Major,86,91,79,29,0,60,16,472,250807.9533898305,1
That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130.0,108,Major,71,55,44,74,0,11,6,463,316119.07127429807,2
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991.0,84,Minor,71,63,45,45,0,11,3,477,265081.7421383648,1
RUMBATï¿½,Daddy Yankee,1,2022,3,25,1264,0,157990698.0,95,Minor,69,90,91,6,0,35,4,477,331217.3962264151,2
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831.0,135,Minor,93,77,45,25,0,13,27,485,363486.24948453606,1
Falling,Harry Styles,1,2019,12,13,7556,0,1023187129.0,110,Major,57,6,27,84,0,9,3,1310,781058.8770992366,17
Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107.0,88,Major,89,59,64,5,0,19,7,9729,10991.171446191798,1
Fim de Semana no Rio,teto,1,2022,3,30,315,2,139193812.0,119,Minor,87,28,50,12,0,10,10,472,294902.1440677966,1
MANIAC,Stray Kids,1,2022,3,18,651,0,212234990.0,120,Major,58,71,80,15,0,7,41,484,438502.0454545455,2
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,0,1714490998.0,122,Major,86,97,80,36,0,9,6,2486,689658.4867256638,3
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,197643795.0,98,Major,78,83,75,41,0,27,8,484,408354.94834710745,1
Golden,Harry Styles,1,2019,12,13,8429,1,807015863.0,140,Minor,45,25,84,21,0,13,6,1310,616042.6435114504,17
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,933815613.0,116,Minor,79,87,81,4,0,10,4,3847,242738.6568754874,1
Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590.0,124,Major,86,62,49,51,0,35,21,750,666280.7866666666,6
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157.0,105,Minor,91,73,72,13,0,9,15,505,239301.300990099,1
Still Life,BIGBANG,1,2022,4,5,181,0,53909146.0,118,Major,68,24,58,44,0,6,3,466,115684.8626609442,1
Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932.0,108,Major,61,20,38,61,0,10,5,3312,675322.4432367149,9
Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932.0,108,Major,61,20,38,61,0,10,5,3312,675322.4432367149,9
Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722.0,100,Major,61,53,38,84,0,28,44,2805,756973.1629233512,3
N95,Kendrick Lamar,1,2022,5,13,5542,0,301242089.0,140,Minor,81,39,66,38,0,12,14,428,703836.6565420561,12
About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473.0,109,Minor,84,72,74,10,0,34,7,457,1584014.1641137856,3
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,237351106.0,101,Minor,78,40,74,36,0,17,27,428,554558.6588785046,1
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,0,461558540.0,78,Major,56,61,90,36,0,18,31,435,1061054.1149425288,19
Un Ratito,Bad Bunny,1,2022,5,6,1112,6,417230415.0,93,Minor,79,22,55,31,0,12,5,435,959150.3793103448,19
United In Grief,Kendrick Lamar,1,2022,5,13,2575,0,156898322.0,87,Major,52,32,83,24,0,17,43,428,366584.8644859813,12
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180.0,153,Minor,55,50,78,19,0,11,35,428,297451.3551401869,1
Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,313113297.0,142,Major,87,93,59,28,0,17,5,435,719800.6827586207,19
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,173702135.0,96,Minor,85,41,43,39,0,12,21,428,405846.1098130841,12
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12,2942,0,271666301.0,125,Major,50,39,78,4,0,11,33,429,633254.7808857809,1
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299.0,85,Major,71,43,65,23,0,9,5,435,702644.3655172414,19
